market,code,ticker,name,priority,source
JP,4063,4063.T,信越化学工業,high,watchlist
JP,9433,9433.T,KDDI,high,watchlist
JP,6701,6701.T,NEC,high,watchlist
JP,6965,6965.T,浜松ホトニクス,high,watchlist
US,CARE,CARE,"Carter Bankshares, Inc. - Common Stock",normal,screening
JP,8622,8622.T,"Mito Securities Co.,Ltd.",normal,screening
US,STNG,STNG,Scorpio Tankers Inc. Common Shares,normal,screening
JP,8624,8624.T,"Ichiyoshi Securities Co.,Ltd.",normal,screening
US,INSW,INSW,"International Seaways, Inc. Common Stock ",normal,screening
JP,8707,8707.T,"IwaiCosmo Holdings,Inc.",normal,screening
US,NWFL,NWFL,Norwood Financial Corp. - Common Stock,normal,screening
JP,3932,3932.T,Akatsuki Inc.,normal,screening
US,TEN,TEN,Tsakos Energy Navigation Ltd Common Shares,normal,screening
US,BUSE,BUSE,First Busey Corporation - Common Stock,normal,screening
US,FRO,FRO,Frontline Plc Ordinary Shares,normal,screening
US,MRP,MRP,"Millrose Properties, Inc. Class A Common Stock",normal,screening
JP,6750,6750.T,"ELECOM CO.,LTD.",normal,screening
US,DBRG,DBRG,"DigitalBridge Group, Inc.",normal,screening
JP,5351,5351.T,"SHINAGAWA REFRA CO.,LTD.",normal,screening
JP,2121,2121.T,"MIXI,Inc.",normal,screening
US,TRMD,TRMD,TORM plc - Class A Common Stock,normal,screening
US,WSBC,WSBC,"WesBanco, Inc. - Common Stock",normal,screening
JP,3635,3635.T,"KOEI TECMO HOLDINGS CO.,LTD.",normal,screening
JP,8473,8473.T,"SBI Holdings,Inc.",normal,screening
JP,4763,4763.T,"CREEK & RIVER Co.,Ltd.",normal,screening
JP,3989,3989.T,SHARINGTECHNOLOGY.INC,normal,screening
US,LTC,LTC,"LTC Properties, Inc. Common Stock",normal,screening
US,CMBT,CMBT,CMB.TECH NV Ordinary Shares,normal,screening
US,SPNT,SPNT,SiriusPoint Ltd. Common Shares,normal,screening
JP,8935,8935.T,"FJ NEXT HOLDINGS CO.,LTD.",normal,screening
US,LPG,LPG,Dorian LPG Ltd. Common Stock,normal,screening
JP,8739,8739.T,"SPARX Group Co.,Ltd.",normal,screening
US,HTGC,HTGC,"Hercules Capital, Inc. Common Stock",normal,screening
JP,8630,8630.T,"Sompo Holdings,Inc.",normal,screening
JP,2726,2726.T,パルグループホールディングス,normal,watchlist
JP,215A,215A.T,タイミー,normal,watchlist
