observed_date,generated_at_utc,market,code,ticker,name,target_source,data_status,confidence,free_float_ratio,free_float_shares,shares_outstanding,float_market_cap,current_price,avg_volume_30d,current_volume,avg_turnover_30d,current_turnover,one_day_capacity_at_participation_rate,current_volume_ratio_30d,avg_daily_float_turnover_ratio,current_float_turnover_ratio,short_percent_float,shares_short,shares_short_prior_month,short_interest_change_ratio,days_to_cover,held_percent_insiders,held_percent_institutions,daily_change_pct,free_float_source,free_float_source_tier,liquidity_source,short_source,source_url,source_retrieved_at,short_interest_as_of,price_as_of,context_flags,data_quality_flags
2026-09-14,2026-09-13T22:28:59+00:00,US,MRP,MRP,"Millrose Properties, Inc. Class A Common Stock",screening,ok,0.7,0.9927145255408554,153104491.0,154228116.0,4894045888.420689,29.69,1350516.0,833405.0,31241315.321333338,24743794.45,3124131.532133334,0.6171011672575519,0.008820877762494897,0.005443373963471784,0.0545,7236096.0,7024875.0,0.030067581273688138,7.3,0.01128,0.93811995,0.00337953,Yahoo Finance via yfinance,secondary,Yahoo Finance via yfinance,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/MRP,2026-09-13T22:28:49+00:00,2026-08-31T00:00:00+00:00,2026-09-11T20:00:02+00:00,SHORT_CROWDING,
2026-09-14,2026-09-13T22:28:59+00:00,US,TEN,TEN,Tsakos Energy Navigation Ltd Common Shares,screening,ok,0.7,0.7147716663685458,21534357.0,30127603.0,1031495797.7233782,47.9,269051.0,1060368.0,10926022.643666668,50791627.199999996,1092602.2643666668,3.9411412706141213,0.01249403453281656,0.04924075513376137,0.0084,223819.0,328207.0,-0.31805537359044744,1.04,0.28069,0.34032002,0.0713487,Yahoo Finance via yfinance,secondary,Yahoo Finance via yfinance,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/TEN,2026-09-13T22:28:49+00:00,2026-08-31T00:00:00+00:00,2026-09-11T20:00:02+00:00,SHORT_INTEREST_FALLING|VOLUME_EXPANSION|PRICE_UP_ON_VOLUME_EXPANSION,
2026-09-14,2026-09-13T22:28:59+00:00,JP,3932,3932.T,Akatsuki Inc.,screening,ok,0.7,0.6627300303874523,7974146.0,12032269.0,27271580393.62265,3420.0,87030.0,78300.0,365119200.0,267786000.0,36511920.0,0.8996897621509824,0.010914021388622682,0.009819233307240676,,,,,,0.29354,0.15209,0.01183432,Yahoo Finance via yfinance,secondary,Yahoo Finance via yfinance,,https://finance.yahoo.com/quote/3932.T,2026-09-13T22:28:49+00:00,,2026-09-11T06:30:00+00:00,NO_EXCEPTION,
2026-09-14,2026-09-13T22:28:59+00:00,US,NWFL,NWFL,Norwood Financial Corp. - Common Stock,screening,ok,0.7,0.903001575663493,9844590.0,10902074.0,339835237.3365435,34.52,42253.0,35376.0,1154166.8506666669,1221179.52,115416.68506666669,0.8372423259886872,0.004292002003130653,0.003593445740249213,0.0153,153518.0,125968.0,0.21870633811761708,4.45,0.08087,0.41404,0.0029053545,Yahoo Finance via yfinance,secondary,Yahoo Finance via yfinance,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/NWFL,2026-09-13T22:28:49+00:00,2026-08-31T00:00:00+00:00,2026-09-11T20:00:00+00:00,SHORT_INTEREST_RISING,
2026-09-14,2026-09-13T22:28:59+00:00,US,TRMD,TRMD,TORM plc - Class A Common Stock,screening,ok,0.7,0.6626223829080341,67866624.0,102421267.0,2380761298.230198,35.08,774800.0,1359617.0,25538656.74666667,47695364.36,2553865.6746666674,1.7547973670624677,0.011416510124328566,0.020033661907213774,0.024600001,1503123.0,981779.0,0.5310197101384324,2.48,0.1447,0.51011,0.01387293,Yahoo Finance via yfinance,secondary,Yahoo Finance via yfinance,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/TRMD,2026-09-13T22:28:49+00:00,2026-08-31T00:00:00+00:00,2026-09-11T20:00:01+00:00,SHORT_INTEREST_RISING|VOLUME_EXPANSION,
2026-09-14,2026-09-13T22:28:59+00:00,JP,6750,6750.T,"ELECOM CO.,LTD.",screening,ok,0.7,0.5780000013409716,46551319.0,80538614.0,91007829883.07599,1955.0,196971.0,169000.0,401302850.0,330395000.0,40130285.0,0.8579943240375487,0.004231265713437679,0.003630401965624218,,,,,,0.35237998,0.18541999,0.0,Yahoo Finance via yfinance,secondary,Yahoo Finance via yfinance,,https://finance.yahoo.com/quote/6750.T,2026-09-13T22:28:49+00:00,,2026-09-11T06:30:00+00:00,NO_EXCEPTION,
2026-09-14,2026-09-13T22:28:59+00:00,US,BUSE,BUSE,First Busey Corporation - Common Stock,screening,ok,0.7,0.9634499968732196,79558768.0,82576956.0,2421769101.554791,30.44,795569.0,491905.0,20166729.067333333,14973588.200000001,2016672.9067333334,0.6183058917579745,0.009999765205011722,0.006182913742455137,0.048,3835080.0,3453109.0,0.11061654873912175,5.94,0.04281,0.68755996,0.0019750288,Yahoo Finance via yfinance,secondary,Yahoo Finance via yfinance,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/BUSE,2026-09-13T22:28:49+00:00,2026-08-31T00:00:00+00:00,2026-09-11T20:00:01+00:00,SHORT_CROWDING,
2026-09-14,2026-09-13T22:28:59+00:00,US,FRO,FRO,Frontline Plc Ordinary Shares,screening,ok,0.7,0.6419799987412794,142919442.0,222622889.0,7033065628.030534,49.21,2590485.0,3692815.0,110905939.61333333,181723426.15,11090593.961333334,1.4255303543544935,0.018125490582309996,0.025838437012649405,0.0675,9659307.0,8679685.0,0.11286377328209496,4.38,0.35786998,0.39514,0.0167355,Yahoo Finance via yfinance,secondary,Yahoo Finance via yfinance,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/FRO,2026-09-13T22:28:49+00:00,2026-08-31T00:00:00+00:00,2026-09-11T20:00:02+00:00,NO_EXCEPTION,
2026-09-14,2026-09-13T22:28:59+00:00,JP,2121,2121.T,"MIXI,Inc.",screening,ok,0.7,0.4159138264835786,27163060.0,65309346.0,99145166256.6324,3650.0,373206.0,316300.0,1597641500.0,1154495000.0,159764150.0,0.8475212081263431,0.013739468233696792,0.011644490716436218,,,,,,0.55367,0.12642999,0.012482662,Yahoo Finance via yfinance,secondary,Yahoo Finance via yfinance,,https://finance.yahoo.com/quote/2121.T,2026-09-13T22:28:49+00:00,,2026-09-11T06:30:00+00:00,NO_EXCEPTION,
2026-09-14,2026-09-13T22:28:59+00:00,US,WSBC,WSBC,"WesBanco, Inc. - Common Stock",screening,ok,0.7,0.9637600043517661,92430260.0,95905889.0,3713847850.6357646,40.18,1308977.0,964084.0,32755361.450000003,38736895.12,3275536.1450000005,0.7365171427763819,0.014161779919260207,0.010430393682761468,0.0738,6971098.0,6540707.0,0.06580190795887964,9.89,0.02121,0.86458,-0.0017391229,Yahoo Finance via yfinance,secondary,Yahoo Finance via yfinance,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/WSBC,2026-09-13T22:28:49+00:00,2026-08-31T00:00:00+00:00,2026-09-11T20:00:00+00:00,SHORT_CROWDING,
