ticker,code,name,market,exchange,universe_source,merge_code,merge_exchange,source_name,source_description,price,volume,avg_volume_30d,market_cap,pe,pb,dividend_yield,roe,debt_to_equity,gross_margin,operating_margin,profit_margin,revenue_growth,earnings_growth,return_1m,return_3m,return_6m,return_12m,volatility_1m,beta_1y,source_code,source_symbol,source_exchange,avg_turnover_30d,price_status,fundamental_fields_present,fundamental_status,data_retrieved_at_utc,price_date,price_basis,price_source,fundamental_source,eligible,rank_return_1m,rank_return_3m,rank_return_6m,rank_return_12m,rank_avg_turnover_30d,rank_volatility_1m,beta_abs,rank_beta_abs,momentum_score,risk_score,liquidity_score,pre_score,earnings_yield,rank_earnings_yield,rank_dividend_yield,rank_roe,rank_gross_margin,rank_operating_margin,rank_profit_margin,rank_revenue_growth,rank_earnings_growth,rank_pb,rank_debt_to_equity,value_score,quality_score,growth_score,factor_coverage,total_score,flags,market_rank,theme,theme_source,is_mortgage_reit,theme_rank,research_status,research_candidate,previous_market_rank,rank_change,daily_change,regime_adjusted_score,regime,factor_model_version,regime_rank
9746.T,9746,TKC Corporation,JP,Prime Market (Domestic),JPX,9746,TSE,9746,TKC Corporation,4035.0,55100.0,94910.0,196510275192.0,14.208201741675524,1.808115489099676,2.85006195786865,13.1964581014288,0.0083872535344354,69.6080901929419,21.5106660385007,15.7815735556749,14.361788770690024,32.927408075879654,11.15702479338843,16.115107913669064,0.0,-10.532150776053214,2.3931360051470576,0.29490352,9746,TSE:9746,TSE,382961850.0,ok,7,ok,2026-08-23T02:29:50.368137+00:00,,TradingView scanner close; exact exchange timestamp unavailable,TradingView scanner (unofficial/undocumented),TradingView scanner (unofficial/undocumented),True,0.8560626519038618,0.8223062381852552,0.5667026735079665,0.2403456656764785,0.7177615571776156,0.5203888738860383,0.29490352,0.6807993518768566,62.13543073183905,60.05941128814474,71.77615571776155,63.062534618803845,0.0703818835192069,0.5444938820912124,0.6384734399174833,0.6574267782426778,0.9266155531215772,0.8796875,0.8557291666666667,0.7365364308342133,0.6246545052515202,0.3858104609010875,0.8900468994267848,52.29259276365944,84.19011794915411,68.05954680428667,1.0,66.06181334205829,ok,49.0,Other,concentration_guard_keyword_v1,False,35.0,research_candidate,True,52.0,3.0,unchanged,66.1190875745714,UNKNOWN,1.7.0,88
2674.T,2674,"HARD OFF CORPORATION Co.,Ltd.",JP,Prime Market (Domestic),JPX,2674,TSE,2674,"Hard Off Corporation Co., Ltd.",2725.0,55700.0,81933.33333333333,37823057485.0,11.044013941801088,1.907201055770513,3.11926605504587,18.2975270369949,0.3322113700374129,67.9261474654968,8.73672788463164,8.19572258490796,23.51447590442436,56.51900316032129,-5.019170442662949,13.683771380892782,29.085741354808142,52.57558790593505,3.765285568820119,0.122664146,2674,TSE:2674,TSE,223268333.3333333,ok,7,ok,2026-08-23T02:29:50.368137+00:00,,TradingView scanner close; exact exchange timestamp unavailable,TradingView scanner (unofficial/undocumented),TradingView scanner (unofficial/undocumented),True,0.1285444234404537,0.7796381312449365,0.9143937348096138,0.871995679179044,0.6461205731278724,0.2214420739940589,0.122664146,0.8798271671617608,67.36429921685121,55.06346205779098,64.61205731278724,63.87625364147656,0.0905467889908256,0.7474972191323693,0.7070654976792161,0.8148535564853556,0.9178532311062432,0.5171875,0.6083333333333333,0.8743400211193242,0.7611940298507462,0.3676851372345935,0.4434601354872329,60.74159513487264,66.0337551282433,81.77670254850352,1.0,66.41334226667601,ok,44.0,Other,concentration_guard_keyword_v1,False,31.0,research_candidate,True,43.0,-1.0,unchanged,65.81516031821633,UNKNOWN,1.7.0,89
4507.T,4507,"Shionogi & Co.,Ltd.",JP,Prime Market (Domestic),JPX,4507,TSE,4507,"Shionogi & Co., Ltd.",2919.0,2335100.0,2663529.9999999944,2567347799194.0,9.42910469697978,1.401612540102072,2.43233984241178,16.7275723623464,0.3860257233492939,78.2733138496394,29.2718827569309,46.7859007183872,27.866812876450464,47.04395358027693,1.4951321279554937,-1.1681056373793803,-18.961687951138256,11.2,2.4539308822560737,0.43303645,4507,TSE:4507,TSE,7774844069.999984,ok,7,ok,2026-08-23T02:29:50.368137+00:00,,TradingView scanner close; exact exchange timestamp unavailable,TradingView scanner (unofficial/undocumented),TradingView scanner (unofficial/undocumented),True,0.4472049689440994,0.2876046448825277,0.1398865784499054,0.5843910342965163,0.9529602595296026,0.506346205779098,0.43303645,0.5293005671077504,36.47718066432623,51.78233864434242,95.29602595296026,49.126296952625374,0.1060546077423775,0.8592880978865406,0.5229499742135121,0.772489539748954,0.956736035049288,0.9421875,0.9927083333333332,0.9123548046462512,0.710889994472084,0.5126877265665458,0.4059405940594059,63.164193288886615,81.40124004381961,81.16223995591676,1.0,65.6127342206602,ok,56.0,Other,concentration_guard_keyword_v1,False,42.0,research_candidate,True,58.0,2.0,unchanged,65.6798121847414,UNKNOWN,1.7.0,90
6630.T,6630,YA-MAN LTD.,JP,Prime Market (Domestic),JPX,6630,TSE,6630,YA-MAN Ltd.,833.0,179500.0,91456.66666666669,45832667694.0,,1.882398753612488,1.5906362545018,,0.0041071135206177,,,,,,12.719891745602164,14.10958904109589,16.178521617852162,-0.3588516746411483,2.3395579689016763,0.055390842,6630,TSE:6630,TSE,76183403.33333334,ok,2,partial,2026-08-23T02:29:50.368137+00:00,,TradingView scanner close; exact exchange timestamp unavailable,TradingView scanner (unofficial/undocumented),TradingView scanner (unofficial/undocumented),True,0.8854982446664866,0.7888198757763976,0.8279773156899811,0.3840129624628679,0.5152743984860774,0.5368620037807184,0.055390842,0.9459897380502296,72.15770996489333,74.1425870915474,51.527439848607735,69.559388729114,,,0.3156266116554925,,,,,,,0.3718280683583636,0.9103699843668578,34.37273400069281,91.03699843668578,,0.8,66.62184708476343,fundamental_partial,42.0,Other,concentration_guard_keyword_v1,False,29.0,research_candidate,True,54.0,12.0,unchanged,65.6324947400556,UNKNOWN,1.7.0,91
5195.T,5195,"Bando Chemical Industries,Ltd.",JP,Prime Market (Domestic),JPX,5195,TSE,5195,Bando Chemical Industries Ltd.,2412.0,50200.0,58863.333333333336,101430551239.0,9.24750888519977,1.0486096114757053,4.97512437810945,12.1026118132928,0.052619753271348,30.4737934528576,8.57698530733653,8.71672087208067,6.09757154871208,397.2338511045532,6.30233583076245,10.9475620975161,3.9655172413793114,25.363825363825363,2.2497107866862827,0.9262664,5195,TSE:5195,TSE,141978360.0,ok,7,ok,2026-08-23T02:29:50.368137+00:00,,TradingView scanner close; exact exchange timestamp unavailable,TradingView scanner (unofficial/undocumented),TradingView scanner (unofficial/undocumented),True,0.7169862273832028,0.7180664326221983,0.6573048879287064,0.7339994598973805,0.5923222492565559,0.5660275452335943,0.9262664,0.2290035106670267,70.6589251957872,39.75155279503105,59.23222492565559,61.21807705507842,0.1081372305140961,0.8709677419354839,0.962867457452295,0.608786610878661,0.5153340635268346,0.509375,0.6494791666666667,0.4376979936642027,0.9734660033167496,0.68720870015536,0.7639395518499218,84.03479665143796,60.93828785844168,70.55819984904763,1.0,66.91648279590217,ok,40.0,Other,concentration_guard_keyword_v1,False,27.0,research_candidate,True,37.0,-3.0,unchanged,65.59608733031074,UNKNOWN,1.7.0,92
3633.T,3633,"GMO Pepabo,Inc.",JP,Standard Market(Domestic),JPX,3633,TSE,3633,"GMO Pepabo, Inc.",2404.0,46900.0,21433.33333333333,12720554152.0,7.986289096356704,3.757175909038084,2.78702163061564,54.7451693759056,0.121180871235933,53.8766013239271,7.93979055729461,14.5348190729066,-3.722464769034237,138.33008318943232,38.16091954022989,42.248520710059175,16.926070038910506,48.85448916408669,2.2446094917450097,0.3788259,3633,TSE:3633,TSE,51525733.33333333,ok,7,ok,2026-08-23T02:29:50.368137+00:00,,TradingView scanner close; exact exchange timestamp unavailable,TradingView scanner (unofficial/undocumented),TradingView scanner (unofficial/undocumented),True,0.9900081015392924,0.9719146637861192,0.8347285984337024,0.8598433702403456,0.4714787780481211,0.5681879557115852,0.3788259,0.5868214960842559,91.4123683499865,57.75047258979205,47.14787780481211,76.35722082816173,0.1252146006655574,0.9243604004449388,0.6193914388860238,0.9937238493723848,0.8329682365826944,0.4697916666666666,0.8307291666666666,0.0902851108764519,0.908236594803759,0.1372345934748834,0.6571130797290256,56.03288109352821,75.68651998034876,49.92608528401055,1.0,65.28949346623814,ok,63.0,Other,concentration_guard_keyword_v1,False,48.0,research_candidate,True,,,new_entry,65.4926253463243,UNKNOWN,1.7.0,93
4318.T,4318,"QUICK CO.,LTD.",JP,Prime Market (Domestic),JPX,4318,TSE,4318,"Quick Co., Ltd.",856.0,95400.0,123783.33333333331,48184906921.0,11.064420520363834,2.365428924663852,4.40030957943925,22.2219813270352,0.0049726504226752,67.1105864523849,13.6925328406895,12.5901242151668,5.006126388042427,29.112692463026068,11.31339401820546,14.899328859060402,-0.4651162790697674,10.451614007741949,2.024498960976109,0.49316975,4318,TSE:4318,TSE,105958533.33333331,ok,7,ok,2026-08-23T02:29:50.368137+00:00,,TradingView scanner close; exact exchange timestamp unavailable,TradingView scanner (unofficial/undocumented),TradingView scanner (unofficial/undocumented),True,0.8598433702403456,0.8012422360248447,0.5541452876046449,0.5738590332163112,0.5625844822925115,0.6451525789900081,0.49316975,0.4823116392114501,69.72724817715365,56.37321091007291,56.25844822925114,64.36841886819809,0.0903797897196261,0.746384872080089,0.9185146982980918,0.8807531380753139,0.911829134720701,0.7385416666666667,0.7869791666666667,0.3901795142555438,0.5953565505804311,0.2832729155877783,0.9056800416883792,64.93908286553197,84.47566295635455,49.27680324179875,1.0,66.12411596691537,ok,48.0,Other,concentration_guard_keyword_v1,False,34.0,research_candidate,True,47.0,-1.0,unchanged,65.3017457455139,UNKNOWN,1.7.0,94
3679.T,3679,"ZIGExN Co.,Ltd.",JP,Prime Market (Domestic),JPX,3679,TSE,3679,"ZIGExN Co., Ltd.",463.0,276200.0,252720.0,49273716690.0,10.84387859540154,2.061442748124911,2.37580993520518,20.2405048220026,0.235900654532413,80.6633849813341,20.0105718722125,14.0407677822194,16.258257796896604,11.48626948213871,11.83574879227053,15.75,7.674418604651163,-10.271317829457365,2.650394825405215,0.08373616,3679,TSE:3679,TSE,117009360.0,ok,7,ok,2026-08-23T02:29:50.368137+00:00,,TradingView scanner close; exact exchange timestamp unavailable,TradingView scanner (unofficial/undocumented),TradingView scanner (unofficial/undocumented),True,0.8717256278692952,0.8155549554415339,0.7272481771536592,0.2422360248447205,0.5728575290619087,0.4553065082365649,0.08373616,0.9187145557655956,66.41911963273023,68.70105320010802,57.28575290619087,65.61959801559377,0.0922179265658747,0.7602892102335929,0.5059308922124807,0.8488493723849372,0.9649507119386638,0.8614583333333333,0.8203125,0.7719112988384371,0.3902708678828082,0.3355774210253754,0.5174570088587807,53.39325078238163,80.2605585303143,58.10910833606226,1.0,65.30329992031217,ok,61.0,Other,concentration_guard_keyword_v1,False,46.0,research_candidate,True,,,new_entry,64.76468531012986,UNKNOWN,1.7.0,95
7595.T,7595,ARGO GRAPHICS Inc.,JP,Prime Market (Domestic),JPX,7595,TSE,7595,Argo Graphics Inc.,1346.0,121400.0,230776.66666666663,92322268570.0,4.889623825909049,1.9558444715963577,2.97176820208024,35.7170907980278,0.0,26.1188570454862,14.7780882008128,26.4464278331284,5.013573985579714,230.4433211332292,4.179566563467493,0.1488095238095238,-13.717948717948715,16.410810810810812,1.974866674898676,0.50403345,7595,TSE:7595,TSE,310625393.3333333,ok,7,ok,2026-08-23T02:29:50.368137+00:00,,TradingView scanner close; exact exchange timestamp unavailable,TradingView scanner (unofficial/undocumented),TradingView scanner (unofficial/undocumented),True,0.6194977045638671,0.3359438293275722,0.2092897650553605,0.6500135025654874,0.6901865369018654,0.6591952470969484,0.50403345,0.4712395355117472,45.368620037807176,56.52173913043479,69.01865369018654,51.70440485882098,0.2045147102526003,0.9894327030033372,0.6740587931923672,0.9654811715481172,0.4069003285870756,0.7661458333333333,0.9541666666666668,0.3907074973600845,0.9463792150359316,0.3593992749870534,0.9721208963001564,67.4296923727586,81.29629792870699,66.85433561980079,1.0,65.83591857456284,ok,52.0,Other,concentration_guard_keyword_v1,False,38.0,research_candidate,True,50.0,-2.0,unchanged,64.22719864940855,UNKNOWN,1.7.0,96
7744.T,7744,"Noritsu Koki Co.,Ltd.",JP,Prime Market (Domestic),JPX,7744,TSE,7744,"Noritsu Koki Co., Ltd.",2000.0,434600.0,360736.66666666674,213690750122.0,10.485768976489332,0.911504427803665,3.7,9.23856514201894,0.356840693355345,49.7152295640374,19.8482595077687,14.244690110824,33.1438322413447,76.2041970910811,-0.3487792725460887,-2.581587920116902,-8.508691674290942,23.45679012345679,2.926380212702659,0.65066296,7744,TSE:7744,TSE,721473333.3333335,ok,7,ok,2026-08-23T02:29:50.368137+00:00,,TradingView scanner close; exact exchange timestamp unavailable,TradingView scanner (unofficial/undocumented),TradingView scanner (unofficial/undocumented),True,0.3086686470429381,0.2452065892519578,0.3137996219281663,0.7196867404806914,0.7985942146526088,0.3842830137726167,0.65066296,0.365649473399946,39.68403996759384,37.49662435862814,79.85942146526088,45.16349329000248,0.09536735,0.7880978865406006,0.8292934502320783,0.4361924686192469,0.8055859802847755,0.859375,0.8255208333333334,0.934002111932418,0.8264234383637369,0.7747281201450026,0.4288692027097447,79.73731523058939,67.11086969894201,88.02127751480775,1.0,65.8934013842777,ok,51.0,Other,concentration_guard_keyword_v1,False,37.0,research_candidate,True,44.0,-7.0,unchanged,64.12007240696651,UNKNOWN,1.7.0,97
