market,code,ticker,name,priority,thesis,sector
JP,2726,2726.T,パルグループホールディングス,normal,中期カタリスト監視,Retail
JP,215A,215A.T,タイミー,normal,中期カタリスト監視,Internet Services
JP,3635,3635.T,コーエーテクモホールディングス,normal,中期カタリスト監視,Games
JP,4063,4063.T,信越化学工業,high,グローバルB2B・半導体材料クオリティ,Chemicals
JP,9433,9433.T,KDDI,high,通信ディフェンシブ・株主還元,Telecom
JP,6701,6701.T,NEC,high,DX・防衛・ITサービス,IT Services
