dataset,page_url,download_url,rows,columns,numeric_values,data_status,validation_error,fetched_at
investor_type,https://www.jpx.co.jp/english/markets/statistics-equities/investor-type/index.html,https://www.jpx.co.jp/english/markets/statistics-equities/investor-type/vk0khi000002bn4n-att/stock_vol_1_260902.xls,69,11,230,ok,,2026-09-25T00:35:01+00:00
short_selling,https://www.jpx.co.jp/markets/statistics-equities/short-selling/index.html,https://www.jpx.co.jp/markets/statistics-equities/short-selling/t13vrt000001yui3-att/260924-m.pdf,1,10,9,ok,,2026-09-25T00:35:01+00:00
margin,https://www.jpx.co.jp/english/markets/statistics-equities/margin/index.html,https://www.jpx.co.jp/english/markets/statistics-equities/margin/tvdivq0000001r92-att/mtdailyk2026091800.xls,351,23,5056,ok,,2026-09-25T00:35:01+00:00
