個別銘柄信用取引残高 Outstanding Margin Trading by Issue,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
B,,喚,ＦＦＲＩセキュリティ　普通株式,グロース,貸,36920,JP3166830004,279400,5600,3.4115,338200,-15700,4.1294,82.6,0,0,279400,5600,200900,-1100,137300,-14600
B,,喚,ココペリ　普通株式,グロース,貸,41670,JP3297370003,60200,-1600,0.7605,366100,2300,4.6247,16.4,0,0,60200,-1600,189800,-100,176300,2400
B,,喚,Ｋａｉｚｅｎ　Ｐｌａｔｆｏｒｍ　普通株式,グロース,貸,41700,JP3205610003,479400,-14000,2.8029,2117400,23700,12.3798,22.6,0,0,479400,-14000,845000,29100,1272400,-5400
B,,喚,スパイダープラス　普通株式,グロース,貸,41920,JP3399950009,624300,-9800,1.7563,947200,8200,2.6647,65.9,0,0,624300,-9800,608900,7600,338300,600
B,,喚,ニフティライフスタイル　普通株式,グロース,貸,42620,JP3756210005,1400,-600,0.0219,40700,600,0.6358,3.4,0,0,1400,-600,29400,100,11300,500
B,,喚,Ｋｕｄａｎ　普通株式,グロース,貸,44250,JP3266220007,250700,-3600,2.2128,641100,-43900,5.6587,39.1,0,0,250700,-3600,305200,3500,335900,-47400
B,,喚,バルテス・ホールディングス　普通株式,グロース,貸,44420,JP3778480008,181700,6300,0.8471,581500,2400,2.711,31.2,0,0,181700,6300,428700,1200,152800,1200
B,,喚,ノイルイミューン・バイオテック　普通株式,グロース,貸,48930,JP3759560000,408700,100,0.9417,1023700,-3900,2.3588,39.9,0,0,408700,100,676100,-4800,347600,900
B,,喚,ＦＩＸＥＲ　普通株式,グロース,貸,51290,JP3803130008,454600,38300,2.9022,794000,14400,5.0689,57.3,0,0,454600,38300,427800,5400,366200,9000
B,,喚,レントラックス　普通株式,グロース,貸,60450,JP3981850005,68100,-200,0.8538,119700,-500,1.5008,56.9,0,0,68100,-200,52000,100,67700,-600
B,,喚,ＡＣＳＬ　普通株式,グロース,貸,62320,JP3394900009,998300,3500,4.2005,2482800,84300,10.4467,40.2,0,0,998300,3500,780400,32500,1702400,51800
B,,喚,ＷＡＳＨハウス　普通株式,グロース,貸,65370,JP3155550001,14300,-1100,0.2065,300700,700,4.342,4.8,0,0,14300,-1100,187300,-100,113400,800
B,,喚,ジーニー　普通株式,グロース,貸,65620,JP3386640001,149700,3200,0.8291,635500,-100,3.5195,23.6,0,0,149700,3200,568100,1900,67400,-2000
B,,喚,ベルトラ　普通株式,グロース,貸,70480,JP3835830005,274900,4600,0.751,1312800,-39000,3.5866,20.9,0,0,274900,4600,601900,-2100,710900,-36900
B,,喚,識学　普通株式,グロース,貸,70490,JP3348200001,11600,5100,0.1269,44600,1300,0.488,26,0,0,11600,5100,23600,0,21000,1300
B,,喚,ハルメクホールディングス　普通株式,グロース,貸,71190,JP3773350008,39100,4900,0.3533,67800,-300,0.6127,57.7,0,0,39100,4900,49800,500,18000,-800
B,,喚,プレシジョン・システム・サイエンス　普通株式,グロース,貸,77070,JP3833400009,342500,600,1.2379,1298400,-4800,4.693,26.4,0,0,342500,600,757100,-3100,541300,-1700
B,,喚,マイクロ波化学　普通株式,グロース,貸,92270,JP3860340003,613900,-1900,3.8599,1011300,7200,6.3586,60.7,0,0,613900,-1900,418000,-3100,593300,10300
J,,喚,ＭＡＸＩＳ　ＮＹダウ上場投信　受益証券,投信等,貸,22410,JP3049840006,3920,-4540,*,15400,-100,*,25.5,0,0,3920,-4540,8630,40,6770,-140
J,,喚,東証グロース２５０ＥＴＦ　受益証券,投信等,貸,25160,JP3048700003,631410,-24110,*,950280,-5780,*,66.4,0,0,631410,-24110,336720,740,613560,-6520
