generated_at,score,label,confidence,component_trend,component_stress,component_participation,component_liquidity,component_positioning,actionable,data_status
2026-08-21T23:45:04+00:00,70.15,RISK_ON,0.8,80.89879760143045,84.60999965667725,,38.91707117431707,48.60196300007342,,
2026-08-22T00:33:50+00:00,67.24,CONSTRUCTIVE,1.0,80.89879760143045,84.60999965667725,55.57667934093789,38.91707117431707,48.60196300007342,,
2026-08-23T13:11:59+00:00,67.84,CONSTRUCTIVE,1.0,80.41362399703866,84.60999965667725,56.23128311448975,43.02708929807408,48.60196300007342,,
2026-08-23T22:23:53+00:00,67.84,CONSTRUCTIVE,1.0,80.41362399703866,84.60999965667725,56.23128311448975,43.02708929807408,48.60196300007342,,
2026-08-24T00:32:47+00:00,67.78,CONSTRUCTIVE,1.0,82.91236070234868,84.60999965667725,56.58834369960839,37.19001073891275,48.60196300007342,,
2026-08-24T09:32:28+00:00,66.14,CONSTRUCTIVE,1.0,78.06555851331501,82.35999965667725,56.58334293284184,39.704532863754245,48.60196300007342,,
2026-08-24T23:03:18+00:00,58.17,CONSTRUCTIVE,0.591,71.7343553842388,65.03499942779541,56.58334293284184,28.113063059131136,48.60196300007342,False,partial
2026-08-25T09:19:56+00:00,59.29,CONSTRUCTIVE,0.591,70.83302690362194,65.12500005722046,56.19022928908861,37.76905981580562,48.60196300007342,False,partial
2026-08-25T23:13:59+00:00,59.78,CONSTRUCTIVE,0.591,72.43900466339,64.00000028610229,56.19022928908861,39.66992982986599,48.60196300007342,False,partial
2026-08-26T09:26:05+00:00,62.8,CONSTRUCTIVE,0.591,79.19840687080571,63.62500028610229,56.468249394952174,46.51684990477033,48.60196300007342,False,partial
2026-08-28T05:36:31+00:00,64.86,CONSTRUCTIVE,0.591,84.45047036553524,68.97999965667725,56.468249394952174,40.85447508162278,48.60196300007342,False,partial
2026-08-28T21:32:53+00:00,62.71,CONSTRUCTIVE,0.591,80.42277016463046,64.63499954223633,55.11173827900012,42.84143752236139,49.80831960274451,False,partial
2026-08-28T21:48:35+00:00,62.71,CONSTRUCTIVE,0.591,80.42277016463046,64.63499954223633,55.11173827900012,42.84143752236139,49.80831960274451,False,partial
2026-08-30T22:22:52+00:00,62.99,CONSTRUCTIVE,0.591,79.30575789082798,64.63499954223633,55.11173827900012,46.93314348929091,49.80831960274451,False,partial
2026-08-31T07:23:19+00:00,62.88,CONSTRUCTIVE,0.591,74.29365147324822,64.63499954223633,57.123114131060696,53.50144848641823,49.80831960274451,False,partial
2026-08-31T22:23:00+00:00,61.49,CONSTRUCTIVE,0.591,73.09568597803082,64.79499988555908,57.123114131060696,46.35314644688251,49.80831960274451,False,partial
2026-09-01T10:37:48+00:00,61.54,CONSTRUCTIVE,0.591,70.06790394530778,63.51999931335449,56.85850904482084,55.277971195949945,49.80831960274451,False,partial
2026-09-01T22:26:04+00:00,66.48,CONSTRUCTIVE,1.0,68.80112232167059,82.80999988555908,56.85850904482084,58.53453583916087,49.80831960274451,True,ok
2026-09-02T07:27:59+00:00,65.71,CONSTRUCTIVE,1.0,60.4820388698096,82.80999988555908,54.82663287639673,72.77366106729926,49.80831960274451,True,ok
